#YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
#yr,mo,dy,hr,mn,degT,m/s,m/s,m,sec,sec,degT,hPa,degC,degC,degC,mi,ft
2022,1,1,10,10,20,5.2,7.4,99,99,99,999,1013.8,12.6,13.3,4.2,99,99
2022,1,1,10,20,45,4.7,5.9,99,99,99,999,1014,12.7,13.3,6.3,99,99
2022,1,1,10,30,59,5.2,7.5,99,99,99,999,1014.2,12.7,13.3,6.1,99,99
2022,1,1,10,40,67,5.3,7.3,1.24,6.25,5.21,247,1014.2,12.7,13.3,6.2,99,99
2022,1,1,10,50,79,5.5,7.1,99,99,99,999,1014.3,12.6,13.4,5.8,99,99
2022,1,1,11,0,75,5.1,6.7,99,99,99,999,1014.5,12.6,13.4,5.9,99,99
2022,1,1,11,10,77,4.5,6.8,99,99,99,999,1014.8,12.5,13.4,5.9,99,99
2022,1,1,11,20,82,3.8,5.7,99,99,99,999,1014.9,12.6,13.4,6,99,99
2022,1,1,11,30,99,3.8,5.4,99,99,99,999,1014.9,12.5,13.4,6.1,99,99
2022,1,1,11,40,105,4.2,6.4,1.26,10,4.83,254,1014.9,12.5,13.4,6.2,99,99
2022,1,1,11,50,110,4.6,6,99,99,99,999,1015.1,12.5,13.4,6.2,99,99
2022,1,1,12,0,110,4.9,6.4,99,99,99,999,1015.2,12.4,13.4,5.3,99,99
2022,1,1,12,10,114,5.3,6.9,99,99,99,999,1015.3,12.4,13.4,4.9,99,99
2022,1,1,12,20,115,5.8,7.1,99,99,99,999,1015.4,12.3,13.4,4.5,99,99
2022,1,1,12,30,104,5.3,6.9,99,99,99,999,1015.5,12.3,13.4,4.8,99,99
2022,1,1,12,40,96,5.4,6.9,1.27,9.09,4.87,251,1015.7,12.2,13.4,4.8,99,99
2022,1,1,12,50,86,5,6.6,99,99,99,999,1015.9,12.3,13.4,5.3,99,99
2022,1,1,13,0,82,4.7,6.1,99,99,99,999,1016.2,12.4,13.4,5.5,99,99
2022,1,1,13,10,75,4.5,6.5,99,99,99,999,1016.2,12.4,13.4,5.7,99,99
2022,1,1,13,20,52,3.1,4.7,99,99,99,999,1016.5,12.2,13.4,4.4,99,99
2022,1,1,13,30,40,2.1,3.4,99,99,99,999,1016.7,12.1,13.4,4.7,99,99
2022,1,1,13,40,57,1.7,2.6,1.31,10,5.35,237,1016.8,12,13.4,3.8,99,99
2022,1,1,13,50,55,2.3,3.7,99,99,99,999,1016.9,12.1,13.4,2.9,99,99
2022,1,1,14,0,51,2.3,3.4,99,99,99,999,1017.2,12.2,13.4,3.5,99,99
2022,1,1,14,10,87,0.9,2.1,99,99,99,999,1017.5,12.2,13.4,3.3,99,99
2022,1,1,14,20,168,1,1.8,99,99,99,999,1017.7,12.2,13.4,3.5,99,99
2022,1,1,14,30,136,0.7,1.5,99,99,99,999,1017.7,12.2,13.4,3.7,99,99
2022,1,1,14,40,87,0.9,2.6,1.28,10,5.33,251,1017.9,12.1,13.4,3,99,99
2022,1,1,14,50,110,0.4,1.4,99,99,99,999,1018.1,12.2,13.4,2.5,99,99
2022,1,1,15,0,168,1,1.9,99,99,99,999,1018.4,12.2,13.4,3.3,99,99
2022,1,1,15,10,133,1.2,2.2,99,99,99,999,1018.6,12.2,13.4,4.1,99,99
2022,1,1,15,20,44,2,3.1,99,99,99,999,1018.8,12.2,13.4,5.4,99,99
2022,1,1,15,30,5,1.3,2.5,99,99,99,999,1019,12.1,13.4,5.5,99,99
2022,1,1,15,40,34,0.4,1.2,1.3,10,5.64,253,1019.2,12.2,13.4,4.9,99,99
2022,1,1,15,50,47,0.6,1.9,99,99,99,999,1019.2,12.4,13.4,5.4,99,99
2022,1,1,16,0,360,1.3,2.3,99,99,99,999,1019.3,12.4,13.4,5.3,99,99
2022,1,1,16,10,339,0.4,1.6,99,99,99,999,1019.4,12.5,13.4,5.5,99,99
2022,1,1,16,20,360,1.1,2.4,99,99,99,999,1019.5,12.5,13.4,5.4,99,99
2022,1,1,16,30,43,0.5,1.6,99,99,99,999,1019.6,12.6,13.3,5.6,99,99
2022,1,1,16,40,148,2.6,4.2,1.03,9.09,5.39,256,1019.8,12.8,13.3,5.5,99,99
2022,1,1,16,50,146,3.1,4.9,99,99,99,999,1019.9,12.4,13.3,5.1,99,99
2022,1,1,17,0,144,3.4,4.5,99,99,99,999,1020.1,12.4,13.3,5.3,99,99
2022,1,1,17,10,146,3.8,5.3,99,99,99,999,1020.3,12.3,13.4,5.2,99,99
2022,1,1,17,20,145,3.6,4.6,99,99,99,999,1020.5,12.3,999,4.9,99,99
